Date,Solar (Utility) -  GWh,Solar (Utility) - GWh,Wind - GWh,DOY
2025-01-09,,22.789977,5.804042099999999,9.0
2025-01-10,,17.336277,8.1675749,10.0
2025-01-11,,18.195927,6.2705994,11.0
2025-01-12,,21.081356,5.696819499999999,12.0
2025-01-13,,26.603271,4.9914077,13.0
2025-01-14,,22.973331,4.5691026,14.0
2025-01-15,,23.896756,6.6221296,15.0
2025-01-16,,23.155039,9.282159,16.0
2025-01-17,,25.698817,6.5724788,17.0
2025-01-18,,17.451025,5.2868563,18.0
2025-01-19,,17.467064999999998,9.8010202,19.0
2025-01-20,,19.682476,5.4200344,20.0
2025-01-21,,23.872787,6.2649263,21.0
2025-01-22,,22.514472,5.76328,22.0
2025-01-23,,23.190017,9.9155931,23.0
2025-01-24,,22.596588,8.8722461,24.0
2025-01-25,,20.44538,11.651606,25.0
2025-01-26,,18.502718,10.671829,26.0
2025-01-27,,21.57555,11.213439,27.0
2025-01-28,,21.162361,8.206989100000001,28.0
2025-01-29,,22.55396,6.388391400000001,29.0
2025-01-30,,23.61554,7.188541,30.0
2025-01-31,,22.327445,8.5585314,31.0
2025-02-01,,17.268597000000003,11.465208,32.0
2025-02-02,,16.526958,9.0766094,33.0
2025-02-03,,13.592011,8.8840027,34.0
2025-02-04,,12.120883,8.4633188,35.0
2025-02-05,,9.0569069,5.1945702,36.0
2025-02-06,,16.976973,6.1651446,37.0
2025-02-07,,18.977639,7.4802789,38.0
2025-02-08,,19.593995,7.2154637,39.0
2025-02-09,,19.890176,8.436311700000001,40.0
2025-02-10,,18.623473,9.0082554,41.0
2025-02-11,,22.425954,8.8817885,42.0
2025-02-12,,21.681411,8.6348072,43.0
2025-02-13,,18.768936,8.524605,44.0
2025-02-14,,19.988836,6.6106019,45.0
2025-02-15,,38.096614,14.480853,46.0
2025-02-16,,35.36286,18.526531,47.0
