Date,Latitude,Longitude,temperature_2m_max,sunshine_duration,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,DOY
2024-06-10 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.3405,36323.91,0.0,3.1241,17.42,161
2024-06-11 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.4905,36306.81,0.0,3.3376637,17.32,162
2024-06-12 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.040499,36291.254,0.0,3.214032,17.34,163
2024-06-13 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.5905,36277.273,0.0,3.733631,17.46,164
2024-06-14 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.690498,36264.887,0.0,4.1773195,17.46,165
2024-06-15 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.3405,36254.11,0.0,4.159327,17.25,166
2024-06-16 00:00:00+10:00,-20.984182357788086,145.0405731201172,24.6405,36244.977,0.0,3.4669871,17.35,167
2024-06-17 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.5905,36237.492,0.0,3.7215588,17.28,168
2024-06-18 00:00:00+10:00,-20.984182357788086,145.0405731201172,24.290499,36231.688,0.0,2.86007,17.35,169
2024-06-19 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.4905,36227.574,0.0,3.748333,17.03,170
2024-06-20 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.790499,36225.18,0.0,3.6359317,16.92,171
2024-06-21 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.7405,31391.625,0.0,5.375872,12.62,172
2024-06-22 00:00:00+10:00,-20.984182357788086,145.0405731201172,24.5905,36225.98,0.0,3.4176016,16.68,173
2024-06-23 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.0905,36229.152,0.0,3.748333,17.14,174
2024-06-24 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.290499,34779.953,0.0,5.5731497,16.5,175
2024-06-25 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.7405,34343.53,0.0,5.7628117,13.49,176
2024-06-26 00:00:00+10:00,-20.984182357788086,145.0405731201172,20.7405,8325.679,24.999998,5.508176,5.56,177
2024-06-27 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.3405,16649.617,8.800001,4.3324356,8.14,178
2024-06-28 00:00:00+10:00,-20.984182357788086,145.0405731201172,24.690498,19886.504,0.3,4.6400433,9.28,179
2024-06-29 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.940498,33468.434,0.1,6.529931,13.11,180
