date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-03-15,-1.87,-5.03,75.83,240.32,0.55,0.00,0.98,7.00,4.83,0.85,0.92,1.73,29.40,106.15,50.30,72.55,89530.83,214788.57,20.16,0.06,564.18,3074.86,3562.41,502.33,588.59,534.86,63.56,21646.57,191484.22,3308420.24,17822582.38,37487.03,3.54,39689.95,632553.33,313347.99,98700.05,73754.20,166345.68,2330642.25,5732869.92,1746259.22,0.00
2024-03-16,-1.54,-5.70,77.61,235.54,0.29,0.00,3.02,7.43,3.20,0.00,1.14,1.23,32.62,81.07,37.14,71.21,91297.39,210427.19,10.21,0.38,1740.23,3211.57,2026.21,0.00,725.20,568.54,65.98,7202.89,77097.52,4905423.11,15918218.50,21343.18,35.22,291301.09,768410.59,240006.49,0.00,67953.57,127932.17,2862347.38,5110796.91,887029.84,0.00
2024-03-17,-1.51,-5.84,84.42,240.27,0.31,0.00,3.38,7.18,1.73,0.77,1.09,0.92,28.30,74.56,39.97,62.05,100221.94,214855.96,10.13,0.12,1948.53,2969.94,1104.91,453.90,696.44,599.43,62.44,21254.71,122805.90,4938824.30,16252584.51,20957.58,11.02,262438.30,735575.27,140973.80,80341.03,69380.04,97931.57,2370686.25,4458591.66,995809.14,0.00
2024-03-18,-1.43,-4.47,91.57,266.28,0.52,0.00,2.98,13.04,4.43,0.71,0.79,1.20,30.40,73.72,46.96,67.56,108728.04,238091.68,19.76,0.18,1717.53,5667.67,2873.38,420.03,506.90,602.45,74.16,75453.54,226857.34,6239170.07,19963943.32,42221.80,13.46,243952.91,1204167.20,380141.05,68510.34,58969.05,120410.03,2641057.21,5515270.06,2675841.34,0.00
2024-03-19,-1.70,-3.92,88.28,260.20,0.64,0.00,0.99,8.77,3.42,0.57,0.44,1.51,23.33,107.83,46.29,66.19,104999.94,232604.54,24.56,0.04,572.53,4052.50,2152.52,335.92,281.67,572.34,64.10,57138.60,144143.22,4028509.45,19112832.38,46036.72,-0.98,58735.31,952806.02,346810.62,56831.01,35484.66,138215.37,1784676.66,5866461.86,1955633.11,0.00
2024-03-20,-1.90,-3.38,68.61,260.06,0.70,0.00,0.98,9.65,2.65,0.40,0.26,1.11,24.52,107.62,40.45,67.54,81902.26,232263.85,28.89,0.03,565.24,4445.66,1734.85,236.53,163.70,554.73,61.47,5851.31,138758.23,2171109.90,19104148.44,46425.88,1.40,20935.78,1090286.72,284116.56,32602.09,17467.28,84945.51,1756798.25,4280624.25,1479425.25,0.00
2024-03-21,-1.76,-3.39,79.31,241.84,-0.01,0.00,1.29,9.10,1.44,0.70,0.59,1.45,27.02,81.38,46.91,72.24,94309.02,216171.15,3.08,0.05,744.53,4273.70,849.89,410.94,379.19,568.23,52.94,13751.04,11690.81,3716050.73,13933073.31,4709.74,3.68,24152.41,680746.70,106395.70,61818.30,34713.32,117531.31,1993718.41,4263907.35,286600.86,0.00
2024-03-22,-1.56,-2.92,82.77,246.47,0.02,0.01,1.74,8.34,2.49,0.58,0.85,1.54,32.38,60.07,50.43,70.59,98342.07,220349.02,3.50,16.58,1001.28,3963.76,1475.24,340.27,540.00,588.72,62.03,23152.52,83202.11,5310017.98,15514753.34,7235.87,715.69,97595.91,659947.63,226154.68,70159.32,53270.07,129230.68,2632829.68,3732327.52,1703157.54,0.00
2024-03-23,-1.63,-2.95,78.33,233.68,0.38,0.00,0.99,8.94,5.27,0.00,1.13,1.27,24.58,74.72,35.48,61.98,93125.03,208949.88,14.92,0.00,567.54,4162.30,3883.41,0.00,720.51,596.40,59.38,4191.76,57906.86,3023969.43,16601830.10,33532.19,0.03,20235.46,618702.84,370723.06,0.00,75764.66,95159.08,1660257.51,3291010.77,1031962.10,0.00
2024-03-24,-1.66,-1.73,78.35,244.49,0.76,0.00,0.98,7.82,1.65,0.00,1.08,1.04,21.17,65.85,35.52,59.46,93314.89,218603.66,29.72,0.01,565.53,3665.83,1124.98,0.00,688.94,617.73,55.35,-17685.53,77516.96,2529117.69,16256565.73,50695.05,1.18,21874.88,651055.50,90790.69,0.00,72563.09,83689.17,1411592.34,2686779.51,1045697.31,0.00
